2025-03-08 23:15:10,955 - RaspberryPiConnector - INFO - Using configuration from environment variables
2025-03-08 23:15:10,956 - RaspberryPiConnector - INFO - Raspberry Pi Connector initialized
2025-03-08 23:15:35,206 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:37,208 - RaspberryPiConnector - INFO - Published: Temperature=71.43°C, Pressure=7.52 bar
2025-03-08 23:15:37,209 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:39,214 - RaspberryPiConnector - INFO - Published: Temperature=60.28°C, Pressure=7.58 bar
2025-03-08 23:15:39,214 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:41,218 - RaspberryPiConnector - INFO - Published: Temperature=63.57°C, Pressure=8.76 bar
2025-03-08 23:15:41,219 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:43,225 - RaspberryPiConnector - INFO - Published: Temperature=68.36°C, Pressure=8.33 bar
2025-03-08 23:15:43,226 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:45,232 - RaspberryPiConnector - INFO - Published: Temperature=68.7°C, Pressure=7.24 bar
2025-03-08 23:15:45,232 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:47,234 - RaspberryPiConnector - INFO - Published: Temperature=62.8°C, Pressure=8.04 bar
2025-03-08 23:15:47,235 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:49,239 - RaspberryPiConnector - INFO - Published: Temperature=54.54°C, Pressure=4.74 bar
2025-03-08 23:15:49,240 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:51,246 - RaspberryPiConnector - INFO - Published: Temperature=74.4°C, Pressure=6.17 bar
2025-03-08 23:15:51,247 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:53,252 - RaspberryPiConnector - INFO - Published: Temperature=70.52°C, Pressure=7.62 bar
2025-03-08 23:15:53,252 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:55,258 - RaspberryPiConnector - INFO - Published: Temperature=56.51°C, Pressure=8.0 bar
2025-03-08 23:15:55,259 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:57,265 - RaspberryPiConnector - INFO - Published: Temperature=64.62°C, Pressure=7.44 bar
2025-03-08 23:15:57,266 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:15:59,272 - RaspberryPiConnector - INFO - Published: Temperature=62.87°C, Pressure=6.66 bar
2025-03-08 23:15:59,272 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:01,279 - RaspberryPiConnector - INFO - Published: Temperature=67.19°C, Pressure=8.6 bar
2025-03-08 23:16:01,279 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:03,285 - RaspberryPiConnector - INFO - Published: Temperature=60.73°C, Pressure=8.34 bar
2025-03-08 23:16:03,286 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:05,290 - RaspberryPiConnector - INFO - Published: Temperature=69.12°C, Pressure=7.81 bar
2025-03-08 23:16:05,290 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:07,296 - RaspberryPiConnector - INFO - Published: Temperature=70.94°C, Pressure=8.78 bar
2025-03-08 23:16:07,297 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:09,303 - RaspberryPiConnector - INFO - Published: Temperature=59.89°C, Pressure=7.35 bar
2025-03-08 23:16:09,303 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:11,015 - RaspberryPiConnector - INFO - Successfully updated status with catalog
2025-03-08 23:16:11,310 - RaspberryPiConnector - INFO - Published: Temperature=68.89°C, Pressure=8.74 bar
2025-03-08 23:16:11,311 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:13,314 - RaspberryPiConnector - INFO - Published: Temperature=55.87°C, Pressure=7.64 bar
2025-03-08 23:16:13,315 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:15,321 - RaspberryPiConnector - INFO - Published: Temperature=62.83°C, Pressure=6.63 bar
2025-03-08 23:16:15,321 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:17,327 - RaspberryPiConnector - INFO - Published: Temperature=74.62°C, Pressure=8.16 bar
2025-03-08 23:16:17,328 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:19,329 - RaspberryPiConnector - INFO - Published: Temperature=64.87°C, Pressure=6.45 bar
2025-03-08 23:16:19,330 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:21,336 - RaspberryPiConnector - INFO - Published: Temperature=75.33°C, Pressure=7.2 bar
2025-03-08 23:16:21,337 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:23,343 - RaspberryPiConnector - INFO - Published: Temperature=70.33°C, Pressure=7.69 bar
2025-03-08 23:16:23,344 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:25,351 - RaspberryPiConnector - INFO - Published: Temperature=73.89°C, Pressure=8.23 bar
2025-03-08 23:16:25,351 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:27,357 - RaspberryPiConnector - INFO - Published: Temperature=68.2°C, Pressure=6.06 bar
2025-03-08 23:16:27,358 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:29,361 - RaspberryPiConnector - INFO - Published: Temperature=73.72°C, Pressure=7.65 bar
2025-03-08 23:16:29,362 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:31,367 - RaspberryPiConnector - INFO - Published: Temperature=64.35°C, Pressure=9.68 bar
2025-03-08 23:16:31,368 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:33,372 - RaspberryPiConnector - INFO - Published: Temperature=70.81°C, Pressure=8.45 bar
2025-03-08 23:16:33,373 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:35,379 - RaspberryPiConnector - INFO - Published: Temperature=63.26°C, Pressure=7.28 bar
2025-03-08 23:16:35,380 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:37,386 - RaspberryPiConnector - INFO - Published: Temperature=64.6°C, Pressure=8.84 bar
2025-03-08 23:16:37,388 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:39,394 - RaspberryPiConnector - INFO - Published: Temperature=73.98°C, Pressure=7.5 bar
2025-03-08 23:16:39,395 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:41,398 - RaspberryPiConnector - INFO - Published: Temperature=64.96°C, Pressure=6.17 bar
2025-03-08 23:16:41,399 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:43,405 - RaspberryPiConnector - INFO - Published: Temperature=64.09°C, Pressure=6.86 bar
2025-03-08 23:16:43,406 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:45,412 - RaspberryPiConnector - INFO - Published: Temperature=68.39°C, Pressure=7.21 bar
2025-03-08 23:16:45,412 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:47,419 - RaspberryPiConnector - INFO - Published: Temperature=74.81°C, Pressure=7.02 bar
2025-03-08 23:16:47,420 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:49,425 - RaspberryPiConnector - INFO - Published: Temperature=63.24°C, Pressure=7.06 bar
2025-03-08 23:16:49,426 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:51,430 - RaspberryPiConnector - INFO - Published: Temperature=67.7°C, Pressure=7.14 bar
2025-03-08 23:16:51,430 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:53,434 - RaspberryPiConnector - INFO - Published: Temperature=58.54°C, Pressure=8.85 bar
2025-03-08 23:16:53,435 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:55,440 - RaspberryPiConnector - INFO - Published: Temperature=62.72°C, Pressure=7.12 bar
2025-03-08 23:16:55,441 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:57,447 - RaspberryPiConnector - INFO - Published: Temperature=61.83°C, Pressure=10.53 bar
2025-03-08 23:16:57,447 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:16:59,454 - RaspberryPiConnector - INFO - Published: Temperature=74.55°C, Pressure=7.82 bar
2025-03-08 23:16:59,455 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:01,461 - RaspberryPiConnector - INFO - Published: Temperature=56.77°C, Pressure=6.86 bar
2025-03-08 23:17:01,462 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:03,463 - RaspberryPiConnector - INFO - Published: Temperature=67.75°C, Pressure=7.98 bar
2025-03-08 23:17:03,464 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:05,468 - RaspberryPiConnector - INFO - Published: Temperature=74.19°C, Pressure=9.09 bar
2025-03-08 23:17:05,468 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:07,418 - RaspberryPiConnector - INFO - Published: Temperature=69.56°C, Pressure=6.31 bar
2025-03-08 23:17:07,419 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:09,425 - RaspberryPiConnector - INFO - Published: Temperature=63.18°C, Pressure=5.94 bar
2025-03-08 23:17:09,425 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:10,981 - RaspberryPiConnector - INFO - Successfully updated status with catalog
2025-03-08 23:17:11,431 - RaspberryPiConnector - INFO - Published: Temperature=67.01°C, Pressure=6.9 bar
2025-03-08 23:17:11,432 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:13,439 - RaspberryPiConnector - INFO - Published: Temperature=64.71°C, Pressure=8.52 bar
2025-03-08 23:17:13,439 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:15,445 - RaspberryPiConnector - INFO - Published: Temperature=62.07°C, Pressure=7.22 bar
2025-03-08 23:17:15,446 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:17,452 - RaspberryPiConnector - INFO - Published: Temperature=69.94°C, Pressure=6.96 bar
2025-03-08 23:17:17,453 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:19,458 - RaspberryPiConnector - INFO - Published: Temperature=60.49°C, Pressure=9.03 bar
2025-03-08 23:17:19,459 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:21,464 - RaspberryPiConnector - INFO - Published: Temperature=54.14°C, Pressure=8.35 bar
2025-03-08 23:17:21,466 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:23,472 - RaspberryPiConnector - INFO - Published: Temperature=60.32°C, Pressure=7.47 bar
2025-03-08 23:17:23,472 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:25,474 - RaspberryPiConnector - INFO - Published: Temperature=62.81°C, Pressure=7.64 bar
2025-03-08 23:17:25,474 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:27,480 - RaspberryPiConnector - INFO - Published: Temperature=59.37°C, Pressure=8.85 bar
2025-03-08 23:17:27,481 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:29,483 - RaspberryPiConnector - INFO - Published: Temperature=63.76°C, Pressure=6.14 bar
2025-03-08 23:17:29,483 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:31,489 - RaspberryPiConnector - INFO - Published: Temperature=65.21°C, Pressure=5.43 bar
2025-03-08 23:17:31,489 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:33,494 - RaspberryPiConnector - INFO - Published: Temperature=62.37°C, Pressure=8.74 bar
2025-03-08 23:17:33,494 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:35,499 - RaspberryPiConnector - INFO - Published: Temperature=61.25°C, Pressure=8.77 bar
2025-03-08 23:17:35,500 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:37,500 - RaspberryPiConnector - INFO - Published: Temperature=60.09°C, Pressure=6.04 bar
2025-03-08 23:17:37,500 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:39,506 - RaspberryPiConnector - INFO - Published: Temperature=71.6°C, Pressure=6.89 bar
2025-03-08 23:17:39,506 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:41,511 - RaspberryPiConnector - INFO - Published: Temperature=62.75°C, Pressure=7.28 bar
2025-03-08 23:17:41,512 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:43,518 - RaspberryPiConnector - INFO - Published: Temperature=54.13°C, Pressure=10.78 bar
2025-03-08 23:17:43,518 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:45,524 - RaspberryPiConnector - INFO - Published: Temperature=58.4°C, Pressure=8.39 bar
2025-03-08 23:17:45,525 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:47,531 - RaspberryPiConnector - INFO - Published: Temperature=64.02°C, Pressure=6.72 bar
2025-03-08 23:17:47,531 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:49,537 - RaspberryPiConnector - INFO - Published: Temperature=66.6°C, Pressure=6.2 bar
2025-03-08 23:17:49,539 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:51,544 - RaspberryPiConnector - INFO - Published: Temperature=55.46°C, Pressure=6.18 bar
2025-03-08 23:17:51,544 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:53,550 - RaspberryPiConnector - INFO - Published: Temperature=69.37°C, Pressure=7.19 bar
2025-03-08 23:17:53,551 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:55,556 - RaspberryPiConnector - INFO - Published: Temperature=68.38°C, Pressure=7.73 bar
2025-03-08 23:17:55,556 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:57,562 - RaspberryPiConnector - INFO - Published: Temperature=71.15°C, Pressure=6.82 bar
2025-03-08 23:17:57,563 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:17:59,569 - RaspberryPiConnector - INFO - Published: Temperature=56.09°C, Pressure=7.87 bar
2025-03-08 23:17:59,569 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:01,575 - RaspberryPiConnector - INFO - Published: Temperature=53.9°C, Pressure=7.23 bar
2025-03-08 23:18:01,576 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:03,577 - RaspberryPiConnector - INFO - Published: Temperature=65.71°C, Pressure=7.38 bar
2025-03-08 23:18:03,578 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:05,581 - RaspberryPiConnector - INFO - Published: Temperature=70.07°C, Pressure=6.8 bar
2025-03-08 23:18:05,581 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:07,588 - RaspberryPiConnector - INFO - Published: Temperature=67.75°C, Pressure=8.76 bar
2025-03-08 23:18:07,588 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:09,594 - RaspberryPiConnector - INFO - Published: Temperature=62.19°C, Pressure=6.48 bar
2025-03-08 23:18:09,595 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:10,995 - RaspberryPiConnector - INFO - Successfully updated status with catalog
2025-03-08 23:18:11,598 - RaspberryPiConnector - INFO - Published: Temperature=55.45°C, Pressure=6.93 bar
2025-03-08 23:18:11,598 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:13,604 - RaspberryPiConnector - INFO - Published: Temperature=66.51°C, Pressure=6.95 bar
2025-03-08 23:18:13,605 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:15,611 - RaspberryPiConnector - INFO - Published: Temperature=62.15°C, Pressure=9.99 bar
2025-03-08 23:18:15,611 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:17,618 - RaspberryPiConnector - INFO - Published: Temperature=72.19°C, Pressure=7.68 bar
2025-03-08 23:18:17,618 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:19,619 - RaspberryPiConnector - INFO - Published: Temperature=59.72°C, Pressure=7.8 bar
2025-03-08 23:18:19,620 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:21,626 - RaspberryPiConnector - INFO - Published: Temperature=69.01°C, Pressure=6.48 bar
2025-03-08 23:18:21,627 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:23,633 - RaspberryPiConnector - INFO - Published: Temperature=59.87°C, Pressure=7.3 bar
2025-03-08 23:18:23,634 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:25,640 - RaspberryPiConnector - INFO - Published: Temperature=56.9°C, Pressure=3.3 bar
2025-03-08 23:18:25,640 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:27,646 - RaspberryPiConnector - INFO - Published: Temperature=72.27°C, Pressure=8.38 bar
2025-03-08 23:18:27,647 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:29,650 - RaspberryPiConnector - INFO - Published: Temperature=62.66°C, Pressure=7.03 bar
2025-03-08 23:18:29,650 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:31,656 - RaspberryPiConnector - INFO - Published: Temperature=60.15°C, Pressure=9.66 bar
2025-03-08 23:18:31,657 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:33,662 - RaspberryPiConnector - INFO - Published: Temperature=91.4°C, Pressure=7.1 bar
2025-03-08 23:18:33,663 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:35,669 - RaspberryPiConnector - INFO - Published: Temperature=59.87°C, Pressure=8.05 bar
2025-03-08 23:18:35,670 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:37,675 - RaspberryPiConnector - INFO - Published: Temperature=74.9°C, Pressure=6.88 bar
2025-03-08 23:18:37,675 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:39,681 - RaspberryPiConnector - INFO - Published: Temperature=59.24°C, Pressure=7.96 bar
2025-03-08 23:18:39,682 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:41,688 - RaspberryPiConnector - INFO - Published: Temperature=68.25°C, Pressure=8.74 bar
2025-03-08 23:18:41,688 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:43,694 - RaspberryPiConnector - INFO - Published: Temperature=61.22°C, Pressure=8.36 bar
2025-03-08 23:18:43,695 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:45,701 - RaspberryPiConnector - INFO - Published: Temperature=65.78°C, Pressure=7.46 bar
2025-03-08 23:18:45,702 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:47,707 - RaspberryPiConnector - INFO - Published: Temperature=63.78°C, Pressure=8.78 bar
2025-03-08 23:18:47,710 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:49,713 - RaspberryPiConnector - INFO - Published: Temperature=70.04°C, Pressure=6.9 bar
2025-03-08 23:18:49,716 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:51,722 - RaspberryPiConnector - INFO - Published: Temperature=67.09°C, Pressure=5.99 bar
2025-03-08 23:18:51,723 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:53,729 - RaspberryPiConnector - INFO - Published: Temperature=64.9°C, Pressure=7.59 bar
2025-03-08 23:18:53,730 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:55,736 - RaspberryPiConnector - INFO - Published: Temperature=64.76°C, Pressure=7.3 bar
2025-03-08 23:18:55,737 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:57,743 - RaspberryPiConnector - INFO - Published: Temperature=67.79°C, Pressure=6.22 bar
2025-03-08 23:18:57,744 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:18:59,746 - RaspberryPiConnector - INFO - Published: Temperature=69.38°C, Pressure=6.67 bar
2025-03-08 23:18:59,747 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:01,752 - RaspberryPiConnector - INFO - Published: Temperature=61.24°C, Pressure=6.08 bar
2025-03-08 23:19:01,753 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:03,758 - RaspberryPiConnector - INFO - Published: Temperature=64.0°C, Pressure=6.16 bar
2025-03-08 23:19:03,759 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:05,765 - RaspberryPiConnector - INFO - Published: Temperature=61.94°C, Pressure=7.79 bar
2025-03-08 23:19:05,765 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:07,771 - RaspberryPiConnector - INFO - Published: Temperature=63.3°C, Pressure=8.15 bar
2025-03-08 23:19:07,772 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:09,776 - RaspberryPiConnector - INFO - Published: Temperature=51.05°C, Pressure=7.66 bar
2025-03-08 23:19:09,776 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:11,013 - RaspberryPiConnector - INFO - Successfully updated status with catalog
2025-03-08 23:19:11,781 - RaspberryPiConnector - INFO - Published: Temperature=80.7°C, Pressure=9.05 bar
2025-03-08 23:19:11,782 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:13,788 - RaspberryPiConnector - INFO - Published: Temperature=66.37°C, Pressure=6.14 bar
2025-03-08 23:19:13,789 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:15,795 - RaspberryPiConnector - INFO - Published: Temperature=63.62°C, Pressure=7.04 bar
2025-03-08 23:19:15,795 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:17,800 - RaspberryPiConnector - INFO - Published: Temperature=61.56°C, Pressure=6.88 bar
2025-03-08 23:19:17,801 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:19,807 - RaspberryPiConnector - INFO - Published: Temperature=61.71°C, Pressure=9.41 bar
2025-03-08 23:19:19,807 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:21,811 - RaspberryPiConnector - INFO - Published: Temperature=66.12°C, Pressure=6.61 bar
2025-03-08 23:19:21,811 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:23,817 - RaspberryPiConnector - INFO - Published: Temperature=65.69°C, Pressure=5.45 bar
2025-03-08 23:19:23,818 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:25,822 - RaspberryPiConnector - INFO - Published: Temperature=58.29°C, Pressure=7.46 bar
2025-03-08 23:19:25,822 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:27,828 - RaspberryPiConnector - INFO - Published: Temperature=68.59°C, Pressure=4.88 bar
2025-03-08 23:19:27,829 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:29,835 - RaspberryPiConnector - INFO - Published: Temperature=62.93°C, Pressure=8.07 bar
2025-03-08 23:19:29,836 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:31,838 - RaspberryPiConnector - INFO - Published: Temperature=55.79°C, Pressure=7.26 bar
2025-03-08 23:19:31,838 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:33,844 - RaspberryPiConnector - INFO - Published: Temperature=65.07°C, Pressure=3.89 bar
2025-03-08 23:19:33,845 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:35,851 - RaspberryPiConnector - INFO - Published: Temperature=67.05°C, Pressure=8.43 bar
2025-03-08 23:19:35,852 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:37,858 - RaspberryPiConnector - INFO - Published: Temperature=60.18°C, Pressure=6.22 bar
2025-03-08 23:19:37,859 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:39,863 - RaspberryPiConnector - INFO - Published: Temperature=61.22°C, Pressure=7.07 bar
2025-03-08 23:19:39,864 - RaspberryPiConnector - INFO - Published actuator status: closed
2025-03-08 23:19:41,865 - RaspberryPiConnector - INFO - Published: Temperature=69.87°C, Pressure=5.01 bar
2025-03-08 23:19:41,865 - RaspberryPiConnector - INFO - Published actuator status: closed
